District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Jalpaiguri,65.2,937.0,85.9,44.9,11.2,91.1,58.8,72.8,19.7,33.9,49.6,12.6,80.6,24.5,81.0,83.7,73.9,54.7,14.1,13.6,31.4,30.6,17.0,9.6,9.6,73.2,69.8,47.1,WB,Rural,Eastern Zone
Koch Bihar,72.0,1114.0,98.2,47.9,6.4,88.4,65.3,77.9,17.9,41.6,60.5,8.8,75.2,21.0,80.7,76.1,75.2,42.2,17.6,19.7,33.4,25.8,21.9,7.6,9.2,60.9,70.3,40.6,WB,Rural,Eastern Zone
Uttar Dinajpur,57.5,878.0,97.5,26.7,4.9,96.9,47.6,63.7,13.4,40.4,41.7,13.3,41.3,6.2,44.9,69.7,48.7,44.7,16.6,16.5,42.1,28.0,19.1,8.6,7.9,63.6,62.3,40.1,WB,Rural,Eastern Zone
Dakshin Dinajpur,67.9,920.0,99.6,39.1,5.7,91.0,64.5,80.2,18.9,46.0,52.0,9.2,68.9,43.6,77.5,80.8,76.8,48.1,14.9,14.7,31.6,26.9,12.1,10.5,8.8,70.2,77.4,46.1,WB,Rural,Eastern Zone
Maldah,67.8,917.0,81.5,38.5,10.7,92.7,63.0,72.1,18.0,56.0,51.1,14.6,51.5,20.0,52.1,71.5,55.1,43.0,4.3,4.0,39.2,25.2,17.3,9.9,9.0,54.6,58.9,24.9,WB,Rural,Eastern Zone
Murshidabad,69.3,1042.0,98.2,47.0,10.4,92.0,64.7,86.6,18.1,58.0,64.4,5.5,71.8,22.4,65.8,76.8,66.5,49.1,10.5,10.1,39.1,23.5,20.5,14.9,11.4,42.5,57.2,31.1,WB,Rural,Eastern Zone
Birbhum,67.1,867.0,97.1,23.5,9.6,93.6,59.1,87.4,19.8,53.9,67.2,3.6,78.5,21.2,85.0,90.4,69.0,56.1,33.3,32.4,40.2,32.4,32.7,8.8,5.2,59.3,64.9,21.4,WB,Rural,Eastern Zone
Barddhaman,72.7,944.0,92.6,54.6,50.6,98.0,70.0,77.6,34.2,27.1,50.8,5.8,85.0,44.7,85.1,74.7,66.8,64.3,28.4,29.2,19.3,21.6,21.9,23.8,19.7,49.4,59.3,23.0,WB,Urban,Eastern Zone
Barddhaman,67.3,1165.0,99.5,40.8,14.6,96.8,64.1,68.8,20.3,48.8,59.5,5.3,82.2,30.0,80.8,88.9,65.6,64.9,11.2,13.4,42.7,25.8,29.1,11.8,6.4,40.1,66.4,24.7,WB,Rural,Eastern Zone
Nadia,69.6,811.0,95.7,65.4,16.0,94.4,70.4,79.5,18.7,42.5,54.8,6.9,92.3,35.7,91.9,95.5,78.8,42.7,33.0,32.5,23.7,12.6,18.6,20.1,9.7,38.1,58.0,20.5,WB,Rural,Eastern Zone
