District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Una,86.12,871.43,98.37,68.56,28.05,98.17,91.85,94.64,57.59,4.31,33.49,20.22,71.29,51.69,80.03,61.08,73.57,22.49,12.32,12.88,23.68,15.16,19.4,37.31,24.25,55.58,47.53,22.5,HP,Rural,Northern Zone
Bilaspur,78.11,917.24,84.4,69.77,14.24,99.61,92.16,97.81,60.1,14.22,50.75,16.05,59.02,55.47,82.43,59.75,76.12,41.97,8.72,9.96,28.23,15.86,18.39,27.65,18.2,28.98,39.42,11.32,HP,Rural,Northern Zone
Solan,79.1,1091.73,93.07,65.24,35.52,98.84,85.77,97.08,51.07,9.81,71.5,9.1,72.56,50.96,72.2,78.73,58.52,40.64,12.17,9.54,31.32,16.86,24.2,31.48,19.28,70.0,66.74,28.11,HP,Rural,Northern Zone
Sirmaur,71.81,811.68,89.18,66.63,29.83,98.72,80.83,94.61,45.52,9.2,56.64,13.33,59.14,47.53,75.96,70.12,57.36,49.08,5.25,5.09,24.7,21.82,20.47,22.98,21.47,63.89,45.39,10.83,HP,Rural,Northern Zone
Shimla,73.02,1228.93,96.92,69.76,55.28,99.17,82.63,95.88,56.79,9.16,65.96,7.88,74.63,50.22,74.55,86.42,57.28,45.91,12.95,11.84,27.37,13.61,17.59,31.37,27.07,74.32,71.7,36.74,HP,Rural,Northern Zone
Kinnaur,71.17,806.87,92.65,67.09,66.67,99.72,87.7,97.35,57.6,22.51,57.88,11.75,67.33,49.81,79.88,81.95,61.05,62.12,11.69,10.67,18.41,13.21,18.58,27.58,22.04,83.08,80.79,47.85,HP,Rural,Northern Zone
Gurdaspur,77.02,703.01,99.79,70.21,59.7,98.44,86.73,90.68,57.58,9.23,70.71,5.48,65.15,53.57,86.47,92.58,86.66,23.9,0.01,0.0,22.07,14.84,20.95,28.79,16.84,69.11,57.26,24.24,PB,Rural,Northern Zone
Kapurthala,82.04,800.39,99.08,76.99,89.2,98.73,86.72,82.89,66.39,9.85,67.62,7.83,81.35,47.96,83.63,100.0,90.93,43.73,8.67,9.4,23.6,10.88,6.31,33.24,30.02,59.63,50.38,27.34,PB,Urban,Northern Zone
Jalandhar,86.1,634.19,100.0,91.71,91.89,99.02,90.86,91.17,75.07,8.92,61.42,8.04,74.51,63.17,95.02,88.66,92.08,16.9,0.01,3.12,29.97,6.19,11.06,25.5,20.88,56.7,50.61,15.94,PB,Urban,Northern Zone
Hoshiarpur,82.12,828.96,100.0,72.36,55.8,98.55,90.12,75.98,62.22,7.07,63.75,10.3,69.82,35.22,92.93,91.8,61.61,22.81,6.53,6.8,26.84,14.95,8.77,31.2,24.41,59.83,59.7,27.53,PB,Rural,Northern Zone
Shahid Bhagat Singh Nagar,73.6,1148.39,99.84,82.06,49.46,98.69,87.26,97.87,57.91,2.78,51.29,13.51,91.92,50.82,95.98,83.94,75.88,22.11,6.46,9.57,22.25,13.05,15.51,35.95,27.47,77.97,67.14,44.72,PB,Rural,Northern Zone
Fatehgarh Sahib,83.17,607.47,99.03,80.48,91.16,97.08,87.41,94.94,65.59,6.58,55.79,9.88,66.29,23.39,93.7,87.34,78.76,26.63,3.07,5.35,20.12,11.11,11.6,43.37,30.26,65.67,59.4,27.6,PB,Urban,Northern Zone
Fatehgarh Sahib,77.73,1032.67,99.77,84.2,58.68,98.36,88.87,95.3,55.43,8.95,57.59,4.48,62.27,49.32,94.56,88.06,79.89,38.54,2.85,2.7,18.09,14.82,12.59,39.99,38.96,61.68,50.74,32.19,PB,Rural,Northern Zone
Moga,67.69,984.3,98.78,85.38,43.33,98.59,74.73,83.09,40.95,11.51,66.38,7.43,67.16,36.03,92.28,92.54,84.29,36.34,7.97,7.14,28.72,11.94,8.07,27.44,30.78,49.56,48.37,21.4,PB,Rural,Northern Zone
Firozpur,62.98,1136.26,96.77,73.43,37.01,98.59,62.61,84.44,26.98,8.73,76.85,3.53,69.89,22.2,85.87,81.56,65.64,33.3,4.83,3.97,28.44,14.11,5.75,25.76,25.67,46.82,58.18,21.55,PB,Rural,Northern Zone
Muktsar,66.01,741.95,99.08,75.02,43.26,99.13,70.4,83.64,40.49,10.44,78.51,1.71,65.86,42.68,93.25,95.68,77.12,37.72,3.81,3.41,31.58,16.26,15.94,23.69,19.04,65.36,45.83,24.8,PB,Rural,Northern Zone
Faridkot,79.7,965.55,96.16,86.03,87.69,99.02,83.33,97.52,59.65,8.61,80.09,2.3,70.17,43.86,92.93,100.0,95.52,45.76,8.93,10.19,35.56,9.8,5.37,18.42,18.13,61.59,41.78,42.91,PB,Urban,Northern Zone
Faridkot,67.26,969.0,97.65,82.87,56.05,97.61,74.55,80.35,46.94,10.58,71.69,6.79,89.39,39.09,96.51,96.71,93.81,43.08,1.73,3.16,34.53,11.29,3.32,26.62,11.79,60.19,42.57,48.32,PB,Rural,Northern Zone
Mansa,59.01,1006.77,98.4,73.31,28.09,95.83,65.88,85.6,34.13,11.31,69.7,4.82,63.9,34.88,94.26,93.56,61.63,31.29,3.56,6.0,28.68,19.32,18.33,22.76,16.7,53.11,49.38,20.11,PB,Rural,Northern Zone
Patiala,86.88,927.03,99.21,91.95,93.58,98.85,90.82,95.41,74.68,3.11,69.1,4.34,65.7,43.99,97.19,98.08,71.17,28.86,14.09,13.67,18.58,6.9,6.71,36.54,43.42,44.4,37.73,15.24,PB,Urban,Northern Zone
Patiala,67.47,893.03,99.53,83.22,45.07,97.45,77.13,92.61,42.46,8.22,67.93,3.09,61.45,31.13,96.6,91.86,77.6,42.85,6.12,8.31,16.82,12.0,2.8,34.54,37.17,53.34,43.7,20.45,PB,Rural,Northern Zone
Amritsar,68.56,973.54,100.0,71.68,49.14,99.78,71.17,76.71,41.67,8.61,70.05,4.59,73.76,41.95,87.65,92.6,54.48,37.33,6.32,5.47,20.29,13.62,11.07,30.07,33.02,44.46,54.29,18.4,PB,Rural,Northern Zone
Tarn Taran,69.12,998.04,100.0,75.4,48.58,98.9,74.16,76.84,43.78,8.09,76.94,3.81,48.08,57.03,90.43,96.14,77.2,26.02,2.0,1.39,24.29,14.82,21.19,29.86,27.58,53.55,47.18,32.32,PB,Rural,Northern Zone
Rupnagar,80.3,967.22,99.66,77.56,57.63,97.48,89.96,95.1,59.3,4.17,60.72,11.03,74.22,50.27,92.83,94.04,70.2,29.72,6.04,4.84,16.78,12.82,19.37,42.02,12.69,67.79,74.93,26.45,PB,Rural,Northern Zone
Sahibzada Ajit Singh Nagar,84.55,739.84,99.31,86.35,94.03,98.68,87.15,95.18,70.11,11.94,50.31,6.92,86.19,66.35,92.03,91.28,47.88,47.91,12.21,10.04,22.38,13.02,9.51,42.48,53.9,56.67,57.01,13.11,PB,Urban,Northern Zone
Sahibzada Ajit Singh Nagar,78.47,923.54,99.51,69.48,61.83,98.7,80.77,86.23,46.18,12.24,61.71,6.54,71.31,53.46,84.89,88.12,68.21,35.79,2.75,2.19,26.12,14.36,29.83,35.84,21.21,77.98,62.72,29.59,PB,Rural,Northern Zone
Sangrur,64.56,719.86,97.79,87.1,34.74,94.05,71.49,85.16,41.38,7.6,57.63,12.24,56.65,33.44,90.16,72.94,63.83,19.08,3.24,7.47,28.08,17.02,13.02,28.77,23.97,53.83,48.08,19.4,PB,Rural,Northern Zone
Ganganagar,61.41,874.23,90.66,70.62,25.61,97.48,67.02,84.89,26.72,20.79,64.79,8.76,45.35,29.69,91.87,81.31,61.46,27.0,4.97,3.52,28.08,23.45,14.94,18.99,24.02,40.29,36.22,10.71,RJ,Rural,Northern Zone
Hanumangarh,58.38,1040.37,95.71,51.05,13.92,96.79,60.67,81.36,26.99,24.19,69.16,7.52,22.58,14.81,83.36,63.36,45.21,28.42,0.0,0.0,35.25,24.5,15.82,13.17,11.54,47.86,34.66,5.98,RJ,Rural,Northern Zone
Bikaner,73.58,1004.8,97.99,81.84,86.73,94.26,77.31,88.49,39.13,21.1,70.41,8.13,59.05,11.58,86.57,55.59,28.14,17.59,2.23,1.61,29.56,18.52,17.05,22.41,18.03,55.21,43.61,14.73,RJ,Urban,Northern Zone
Bikaner,54.49,974.32,78.92,54.35,10.76,87.89,48.49,72.56,13.28,41.9,64.52,8.76,26.65,9.92,67.42,56.18,26.34,15.34,1.3,1.17,35.6,27.06,20.25,10.74,10.22,49.42,42.65,10.37,RJ,Rural,Northern Zone
Churu,53.85,877.16,84.84,72.44,12.35,91.27,54.87,76.24,23.93,37.72,51.69,14.38,16.88,16.86,80.3,58.62,32.85,40.54,5.9,5.34,32.13,29.6,31.45,11.92,7.1,42.2,34.66,17.25,RJ,Rural,Northern Zone
Jhunjhunun,59.87,946.65,90.67,61.63,40.89,96.26,68.49,95.15,39.21,25.05,60.35,12.76,46.73,28.8,97.0,71.06,58.41,28.63,1.69,2.21,33.72,21.41,18.09,16.09,16.33,48.61,41.06,7.27,RJ,Rural,Northern Zone
Alwar,58.49,780.67,97.94,32.63,10.1,94.26,55.5,92.3,24.5,44.09,55.67,12.19,19.23,11.36,80.16,45.48,42.48,29.78,2.93,4.8,43.71,27.64,15.1,10.93,18.05,54.21,41.86,10.92,RJ,Rural,Northern Zone
Bharatpur,52.94,1003.82,80.96,28.44,5.91,90.11,47.23,85.4,16.8,39.5,40.02,16.5,14.24,3.01,77.26,49.14,33.88,36.35,12.66,9.98,46.77,26.51,26.57,12.08,11.49,56.23,40.12,11.63,RJ,Rural,Northern Zone
Dhaulpur,58.6,897.14,92.25,24.13,7.91,83.55,50.77,82.91,13.71,40.24,43.42,16.04,28.57,9.88,85.72,57.92,40.29,35.11,4.04,3.54,56.5,32.23,24.55,6.28,9.17,50.26,46.28,16.49,RJ,Rural,Northern Zone
Karauli,52.89,886.11,84.32,15.81,6.76,85.39,46.46,87.51,17.1,53.25,48.94,13.54,29.39,10.76,87.42,53.84,39.2,39.15,1.92,2.44,45.62,32.66,39.54,7.99,6.15,51.25,38.92,14.55,RJ,Rural,Northern Zone
Sawai Madhopur,48.8,792.45,86.61,28.99,8.43,86.61,39.67,82.31,11.49,55.07,47.41,14.99,29.2,6.79,87.37,42.47,38.95,33.49,4.55,4.82,39.38,30.59,25.57,9.65,11.25,47.29,40.26,10.34,RJ,Rural,Northern Zone
Dausa,56.15,949.56,94.51,31.13,8.53,92.02,52.94,92.45,22.94,46.08,50.15,13.68,28.21,15.79,89.23,53.7,29.59,23.1,3.18,2.7,33.85,30.79,21.11,8.2,6.1,44.14,27.27,8.06,RJ,Rural,Northern Zone
Jaipur,79.39,805.76,95.56,74.28,87.08,97.82,79.71,94.25,50.11,22.13,61.06,15.28,67.82,38.57,92.69,54.22,58.35,21.77,3.5,3.76,35.83,17.44,15.06,22.82,18.64,50.41,26.69,9.65,RJ,Urban,Northern Zone
Jaipur,58.42,961.17,91.53,39.46,17.33,95.26,57.33,90.74,26.55,37.22,66.28,11.42,49.65,23.9,94.98,63.73,42.42,31.15,2.12,1.83,35.61,27.99,28.07,11.99,10.21,48.63,27.51,7.91,RJ,Rural,Northern Zone
Sikar,59.02,921.38,91.2,55.27,28.22,92.58,64.86,91.6,28.31,29.85,57.65,15.47,47.85,15.38,90.91,57.54,42.42,25.01,6.68,6.72,28.42,25.7,17.2,14.83,11.29,49.91,33.29,4.59,RJ,Rural,Northern Zone
Nagaur,49.96,800.54,68.43,50.52,15.09,86.86,48.77,79.97,19.59,47.02,51.96,15.55,42.72,12.76,88.04,43.69,44.63,25.13,5.53,7.17,39.58,27.51,16.23,11.67,10.46,53.31,38.64,6.02,RJ,Rural,Northern Zone
Jodhpur,75.05,970.09,98.89,84.93,91.98,98.9,77.18,95.63,49.21,22.06,63.48,9.74,56.5,22.76,88.63,54.47,59.3,38.86,6.82,5.59,38.95,16.0,11.87,26.06,25.01,57.81,41.07,19.53,RJ,Urban,Northern Zone
Jodhpur,49.26,830.74,63.97,33.55,17.05,82.56,44.31,84.87,12.24,41.92,51.83,12.21,32.57,10.88,66.33,36.33,42.35,29.13,2.98,2.65,40.92,23.51,20.79,13.93,13.78,66.11,46.09,12.77,RJ,Rural,Northern Zone
Jaisalmer,42.3,836.64,54.31,31.87,8.78,89.66,33.08,68.28,5.8,48.61,43.92,14.18,17.51,9.27,48.71,39.25,22.39,31.85,3.78,4.04,38.45,27.41,21.81,10.52,9.06,43.24,34.33,16.48,RJ,Rural,Northern Zone
Barmer,42.69,926.25,68.61,17.03,8.57,86.28,34.97,69.38,8.22,48.38,36.28,15.42,14.51,9.04,59.9,36.06,22.73,28.57,1.7,2.27,36.9,27.09,30.65,9.75,14.17,59.63,42.94,20.32,RJ,Rural,Northern Zone
Jalor,45.61,909.27,79.26,36.09,20.8,99.38,38.84,76.44,10.9,33.86,49.03,13.4,28.35,19.7,83.33,35.73,38.5,22.07,1.03,0.84,46.36,32.24,29.77,8.22,9.7,68.38,59.74,29.38,RJ,Rural,Northern Zone
Sirohi,45.26,1031.07,89.51,36.98,31.42,97.62,39.18,79.86,11.6,31.91,37.71,14.91,29.32,18.52,82.56,43.22,30.31,25.32,6.06,5.64,43.65,35.45,26.37,7.11,6.87,68.54,61.12,42.6,RJ,Rural,Northern Zone
Pali,52.55,919.16,77.12,47.95,30.61,97.34,52.31,90.39,14.5,35.03,43.31,12.6,44.63,15.55,80.97,54.81,25.46,31.42,4.02,3.45,46.27,37.13,24.64,11.23,10.66,53.87,49.57,16.68,RJ,Rural,Northern Zone
Ajmer,80.64,802.91,96.64,85.54,91.35,98.82,82.56,96.22,51.05,15.14,64.85,8.85,61.51,13.15,90.16,71.11,25.36,18.68,0.0,1.98,27.81,20.05,15.43,24.96,24.71,62.84,47.94,12.38,RJ,Urban,Northern Zone
Ajmer,54.66,742.81,78.9,57.95,21.9,95.49,53.84,74.61,18.66,48.03,59.83,7.31,46.67,7.07,85.86,65.22,23.48,18.46,0.0,0.0,36.05,27.74,21.06,11.57,13.93,71.34,56.81,12.87,RJ,Rural,Northern Zone
Tonk,49.28,972.8,87.44,24.69,8.74,97.38,46.13,89.99,18.04,52.66,54.25,9.61,47.92,21.09,95.72,73.19,37.27,45.17,6.96,6.21,34.66,33.27,31.74,7.43,9.09,76.32,63.69,23.06,RJ,Rural,Northern Zone
Bundi,46.74,1012.14,88.51,20.38,11.75,96.82,46.46,75.94,16.77,41.48,51.39,10.22,26.33,12.26,91.55,65.96,44.12,26.77,2.61,2.34,38.94,35.45,24.06,7.31,7.24,80.1,65.43,28.96,RJ,Rural,Northern Zone
Bhilwara,44.68,925.73,78.84,21.35,12.36,94.93,40.4,87.74,15.37,67.34,45.96,13.03,41.27,30.99,80.81,63.97,41.83,35.07,6.19,5.28,39.61,27.48,29.93,12.25,8.15,72.59,57.18,27.94,RJ,Rural,Northern Zone
Rajsamand,51.86,803.56,77.7,24.38,15.37,94.2,54.71,79.88,16.71,47.82,50.21,14.6,39.39,7.76,83.68,60.12,19.9,14.62,0.95,1.65,39.59,31.24,30.36,11.12,5.9,76.51,63.26,22.9,RJ,Rural,Northern Zone
Dungarpur,52.14,808.43,90.89,29.97,12.83,91.79,51.45,78.58,22.82,30.78,55.92,9.19,42.63,9.46,85.71,64.87,14.95,17.6,0.0,0.0,47.75,39.29,23.89,4.74,6.0,76.51,73.55,27.22,RJ,Rural,Northern Zone
Banswara,47.91,1022.56,91.54,15.84,7.35,77.63,40.37,76.78,16.31,29.86,51.95,9.29,42.56,14.18,92.8,47.85,46.27,38.98,0.91,0.79,51.05,35.27,32.26,7.04,6.97,85.35,78.14,48.46,RJ,Rural,Northern Zone
Chittaurgarh,44.25,1036.7,87.26,24.35,12.38,99.04,42.14,72.47,13.16,57.35,36.27,16.48,21.44,13.73,83.72,40.37,38.37,22.45,0.0,0.0,40.72,32.15,27.98,13.92,6.1,72.4,63.0,32.99,RJ,Rural,Northern Zone
Kota,76.75,814.87,98.34,63.48,82.11,98.05,77.84,95.4,45.33,15.83,61.21,7.39,62.95,41.25,92.53,72.87,38.96,30.26,0.0,2.83,30.73,22.03,22.15,26.09,20.94,69.2,56.25,28.94,RJ,Urban,Northern Zone
Kota,60.44,849.57,94.33,28.59,22.54,97.87,59.02,80.15,18.74,25.07,63.28,6.59,52.04,15.35,91.56,69.04,32.64,33.81,1.03,0.95,33.84,33.54,33.74,11.64,8.57,80.56,65.03,33.3,RJ,Rural,Northern Zone
Baran,53.09,793.94,90.67,25.59,14.69,97.66,49.73,85.3,16.08,37.91,62.45,7.12,46.51,7.33,97.07,66.33,59.8,44.01,2.2,2.03,43.5,32.65,25.5,7.57,5.33,80.0,68.58,30.14,RJ,Rural,Northern Zone
Jhalawar,48.75,829.34,82.23,29.23,14.26,96.31,44.12,77.17,15.56,40.57,58.86,9.52,33.37,18.49,94.04,72.48,60.21,33.12,1.35,1.22,38.57,30.55,30.8,7.15,5.6,77.71,58.61,23.18,RJ,Rural,Northern Zone
Udaipur,46.08,1005.23,73.17,17.0,8.2,86.31,41.57,81.87,13.59,43.48,34.54,12.51,40.81,16.01,70.57,37.16,30.6,22.1,3.41,3.98,49.53,42.12,43.07,5.04,8.27,80.51,74.3,31.81,RJ,Rural,Northern Zone
Pratapgarh,46.42,821.55,82.95,10.98,8.76,95.01,42.68,70.16,13.8,42.19,53.93,9.45,29.61,30.14,89.27,66.77,53.07,30.3,0.91,0.81,46.96,36.24,17.66,5.92,5.87,76.93,65.1,28.45,RJ,Rural,Northern Zone
Kachchh,68.27,864.48,69.85,69.67,58.36,98.17,64.72,86.94,26.49,31.53,47.49,17.41,63.96,27.62,87.29,39.83,59.09,61.92,13.13,11.17,37.45,20.83,14.1,20.29,19.71,83.41,58.18,20.44,GJ,Urban,Western Zone
Kachchh,57.78,1113.52,87.7,57.11,27.9,95.15,53.03,86.28,12.54,29.99,33.25,18.09,61.39,42.55,80.6,47.72,72.38,32.99,0.01,0.01,42.02,25.09,25.17,19.76,20.84,80.54,64.5,26.07,GJ,Rural,Western Zone
Banaskantha,54.78,1132.88,98.23,33.71,23.23,98.0,55.13,86.35,14.34,51.05,41.2,20.62,58.51,21.63,89.55,35.46,55.35,47.8,7.45,7.42,39.85,39.62,30.88,8.97,13.24,55.08,51.34,16.67,GJ,Rural,Western Zone
Patan,57.04,915.48,96.47,48.8,20.8,97.48,56.63,73.54,12.53,40.9,42.52,16.69,71.52,19.49,91.22,28.54,68.66,44.53,3.74,4.72,41.79,33.81,32.55,11.2,10.47,67.05,57.67,23.1,GJ,Rural,Western Zone
Mahesana,72.73,801.06,93.25,60.77,43.24,94.84,73.81,87.53,24.13,39.95,45.0,14.86,81.9,33.49,95.82,54.24,67.2,53.18,5.84,4.69,40.91,30.02,28.14,18.42,13.66,79.64,62.85,37.25,GJ,Rural,Western Zone
Sabarkantha,63.98,895.8,93.07,40.1,22.75,90.88,65.45,90.43,29.67,37.01,45.09,16.94,63.38,23.85,87.03,48.77,62.99,47.83,3.65,2.96,53.41,38.26,27.85,10.96,13.71,75.31,68.56,38.99,GJ,Rural,Western Zone
Ahmadabad,87.55,881.39,95.35,92.29,91.55,97.16,85.4,95.01,50.99,18.06,44.67,13.14,97.22,56.64,96.83,50.4,63.35,50.8,7.61,5.66,26.22,19.06,22.9,34.03,29.4,74.14,61.31,22.06,GJ,Urban,Western Zone
Surendranagar,56.03,1083.26,78.72,31.28,18.2,92.31,57.91,81.14,12.42,29.43,51.23,18.94,43.19,23.06,76.88,40.92,82.85,44.68,4.54,3.43,49.55,30.98,34.02,16.28,11.03,76.84,62.92,27.31,GJ,Rural,Western Zone
Jamnagar,73.81,1057.92,89.49,77.59,76.97,98.02,78.14,88.71,35.5,16.48,30.14,20.94,85.18,57.59,95.64,68.77,62.22,23.84,10.57,10.81,34.95,17.04,12.5,37.9,14.11,71.06,67.99,20.99,GJ,Urban,Western Zone
Porbandar,62.87,852.92,78.1,61.81,22.33,98.55,69.02,94.1,20.64,19.37,33.83,18.1,60.26,36.68,97.22,76.39,88.93,59.05,0.01,0.01,24.22,18.03,17.7,19.52,13.38,71.46,58.36,21.75,GJ,Rural,Western Zone
Amreli,65.62,748.54,96.19,68.99,43.08,92.01,74.76,88.8,29.92,9.54,43.69,15.73,47.87,33.08,78.96,59.87,89.25,52.55,7.3,6.22,38.36,16.68,12.89,25.68,22.45,76.24,58.41,25.36,GJ,Rural,Western Zone
Anand,74.46,889.26,97.3,56.69,25.78,83.6,72.8,92.32,24.78,32.5,46.53,13.96,78.29,40.42,90.99,60.27,79.37,69.74,2.79,2.19,49.03,42.5,36.44,12.47,9.64,61.11,52.79,24.27,GJ,Rural,Western Zone
Kheda,69.62,835.92,97.59,44.3,22.65,96.67,71.14,93.66,22.72,43.63,35.29,20.56,49.15,32.57,89.51,43.84,74.55,59.01,5.43,6.25,44.12,43.59,35.79,14.99,9.32,56.28,56.24,19.51,GJ,Rural,Western Zone
Panchmahal,61.49,927.04,76.76,26.95,10.95,93.61,58.91,90.1,21.52,32.02,25.42,16.41,45.78,20.21,77.25,30.12,62.28,33.54,5.21,4.73,43.07,51.7,46.58,6.97,10.44,51.2,51.34,20.6,GJ,Rural,Western Zone
Dohad,55.01,1024.15,69.37,14.94,7.16,93.5,47.88,72.81,22.99,33.87,27.82,18.37,38.52,13.81,83.74,27.41,72.81,38.92,8.9,7.82,44.87,47.24,48.08,4.39,7.38,59.6,57.76,20.27,GJ,Rural,Western Zone
Narmada,65.09,906.46,97.65,29.28,7.86,98.36,68.05,83.13,19.36,33.7,53.19,13.1,69.46,46.64,76.33,69.24,67.59,52.52,2.24,3.0,47.92,46.98,36.2,7.95,10.31,53.34,57.6,22.03,GJ,Rural,Western Zone
Bharuch,83.64,1028.99,73.75,89.66,85.37,98.71,85.13,92.12,46.8,21.17,52.94,9.99,94.51,60.4,90.4,73.01,68.1,77.23,11.97,14.28,35.03,18.63,20.02,35.55,23.23,49.83,51.45,9.43,GJ,Urban,Western Zone
Bharuch,67.94,1042.19,93.17,53.83,27.66,98.09,64.8,80.96,19.34,26.36,59.37,11.03,81.53,45.77,76.06,48.8,79.2,63.14,6.63,10.14,45.32,39.19,25.86,16.3,12.6,61.05,52.27,18.4,GJ,Rural,Western Zone
The Dangs,66.74,957.72,67.74,14.67,2.37,95.33,54.21,71.35,13.06,39.18,36.72,15.42,44.98,36.64,51.67,42.39,72.12,41.54,2.2,2.05,48.45,46.01,35.31,2.27,3.42,74.71,72.6,43.67,GJ,Rural,Western Zone
Valsad,70.97,1286.72,67.34,50.66,39.45,88.66,70.69,92.46,40.53,15.98,38.98,16.32,46.91,33.37,67.68,61.61,78.74,66.66,2.46,3.96,51.87,26.54,12.93,20.14,17.39,54.31,54.18,15.45,GJ,Rural,Western Zone
Surat,85.7,629.06,94.62,86.74,94.6,97.38,83.63,92.94,45.31,12.21,43.02,20.17,75.36,42.17,95.21,44.99,74.53,58.71,0.01,0.0,24.81,14.88,19.98,39.79,26.78,40.3,33.97,9.87,GJ,Urban,Western Zone
Tapi,62.56,832.85,88.32,33.11,16.05,95.9,65.74,87.77,31.13,16.89,52.06,10.68,71.78,45.37,82.89,70.69,82.46,32.87,8.13,8.74,36.35,45.01,36.29,7.54,5.23,49.74,55.12,22.04,GJ,Rural,Western Zone
Panchkula,70.8,835.0,99.1,70.5,44.3,96.3,79.0,98.8,47.2,11.2,77.1,2.8,71.6,48.8,98.7,96.6,73.5,40.1,10.1,10.8,26.1,11.7,10.6,21.0,18.2,78.0,57.3,19.4,HR,Rural,Northern Zone
Ambala,75.6,773.0,99.8,85.6,48.9,93.7,85.8,96.0,54.5,6.9,75.7,2.0,61.6,48.9,95.0,95.7,78.0,57.4,15.2,13.5,24.5,13.5,16.7,13.3,7.1,66.2,70.0,24.5,HR,Rural,Northern Zone
Kurukshetra,70.0,837.0,99.7,84.0,49.5,94.0,79.0,92.4,42.4,12.3,71.5,5.9,62.0,32.6,92.4,91.3,83.2,43.1,7.0,10.8,32.4,10.7,4.5,19.5,18.2,63.9,55.8,29.4,HR,Rural,Northern Zone
Kaithal,62.6,840.0,98.3,74.9,29.8,87.2,70.6,82.4,35.9,20.6,74.3,3.6,54.9,54.9,83.1,89.2,84.7,48.1,5.7,4.7,35.8,16.4,17.7,22.0,25.4,69.7,60.6,13.1,HR,Rural,Northern Zone
Karnal,81.9,720.0,100.0,93.3,86.9,97.1,87.3,93.8,66.2,8.7,72.7,6.2,65.3,57.0,92.9,86.7,78.2,45.1,0.0,0.0,34.6,7.9,3.7,33.7,19.2,62.9,58.4,19.3,HR,Urban,Northern Zone
Karnal,68.9,948.0,100.0,84.7,38.8,93.0,74.4,84.0,37.8,8.3,72.9,4.5,62.2,58.1,92.7,92.5,83.4,56.9,7.3,9.8,43.5,15.1,7.3,23.0,30.4,80.4,70.9,13.1,HR,Rural,Northern Zone
Panipat,78.3,810.0,99.8,90.2,88.9,97.6,77.8,90.3,56.0,13.4,71.1,5.1,53.4,33.4,79.7,63.9,74.1,11.9,2.7,8.4,48.7,9.1,10.6,26.6,25.1,70.5,64.1,10.1,HR,Urban,Northern Zone
Sonipat,79.2,897.0,93.7,80.8,80.6,98.6,84.5,96.7,59.3,19.0,66.5,4.5,33.6,39.1,81.0,48.6,73.1,16.5,0.0,2.8,52.5,15.1,4.4,28.2,36.3,54.3,57.9,10.1,HR,Urban,Northern Zone
Sonipat,71.8,836.0,95.2,79.4,30.9,97.4,80.8,90.4,51.9,21.1,68.5,5.8,40.9,25.8,84.9,72.4,84.3,30.3,6.0,5.4,34.6,13.7,4.3,32.8,29.1,60.7,70.7,30.6,HR,Rural,Northern Zone
Jind,66.4,995.0,89.4,82.2,24.1,95.1,74.9,87.5,43.7,15.5,71.9,3.2,56.6,29.8,93.0,88.1,71.4,66.1,7.5,6.7,27.2,17.3,12.1,15.8,11.8,75.8,61.2,23.6,HR,Rural,Northern Zone
Fatehabad,63.2,961.0,100.0,85.9,25.6,96.2,69.2,90.9,34.7,17.9,70.3,2.8,59.7,43.9,91.5,86.9,64.8,52.9,11.3,10.1,30.1,23.5,14.6,13.5,17.7,73.6,66.4,27.6,HR,Rural,Northern Zone
Sirsa,59.8,853.0,97.9,76.9,21.8,86.1,65.2,75.0,30.2,13.1,73.2,5.2,46.4,48.1,83.0,77.6,70.7,55.7,0.0,0.0,34.5,23.2,15.2,19.0,18.8,74.0,60.4,21.9,HR,Rural,Northern Zone
Hisar,62.1,748.0,92.1,83.3,18.3,89.7,67.7,83.6,35.0,18.8,70.3,7.9,31.8,35.7,90.6,77.0,92.3,36.5,1.9,3.4,25.5,17.2,11.1,15.6,19.4,64.3,60.5,30.7,HR,Rural,Northern Zone
