,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1405,Changlang,1463.16,1524.25,204.78,0.6456000000000001,0.96112,0.99928,0.5386,0.2086,0.6131,0.8868,0.18969999999999998,0.222,0.4763,0.35700000000000004,0.1152,0.4901,0.012199999999999999,0.7695000000000001,0.24760000000000001,0.6962,0.0819,0.07919999999999999,0.239,0.0902,0.6516,0.556,0.095,0.053399999999999996,0.075,AR,Rural,North Eastern Zone
1408,Tirap,946.02,1004.27,131.89,0.6645,0.8779999999999999,1.00907,0.49670000000000003,0.07139999999999999,0.6828,0.8812000000000001,0.1595,0.1597,0.39659999999999995,0.22719999999999999,0.062400000000000004,0.26280000000000003,0.0038,0.4371,0.19940000000000002,0.7306,0.0766,0.0757,0.40130000000000005,0.060899999999999996,0.5603,0.43310000000000004,0.0556,0.0447,0.0699,AR,Rural,North Eastern Zone
1411,Lower Subansiri,678.22,609.8,79.53,0.6083,1.01193,0.8936900000000001,0.7056999999999999,0.6025,0.6293,0.9062,0.3403,0.1559,0.09720000000000001,0.24850000000000003,0.1001,0.5689,0.042,0.3753,0.45289999999999997,0.5351,0.2444,0.2386,0.3394,0.053399999999999996,0.44920000000000004,0.3734,0.09939999999999999,0.0771,0.2686,AR,Rural,North Eastern Zone
1414,Kurung Kumey,840.19,766.61,97.93,0.539,1.00128,1.11148,0.4656,0.38270000000000004,0.4446,0.7148,0.1661,0.3738,0.1185,0.07719999999999999,0.0263,0.292,0.020099999999999996,0.17809999999999998,0.22699999999999998,0.5436,0.0797,0.07400000000000001,0.3899,0.0336,0.4437,0.2773,0.0718,0.051500000000000004,0.1649,AR,Rural,North Eastern Zone
1417,Dibang Valley,47.23,34.96,4.6,0.6386,0.9559300000000001,1.2958599999999998,0.7776000000000001,0.2473,0.6923999999999999,0.7659,0.3119,0.2366,0.4435,0.2025,0.23989999999999997,0.5186999999999999,0.0141,0.4078,0.2364,0.6606000000000001,0.10289999999999999,0.09630000000000001,0.38770000000000004,0.0735,0.3193,0.22920000000000001,0.0641,0.028999999999999998,0.12890000000000001,AR,Rural,North Eastern Zone
1420,Lower Dibang Valley,487.49,453.04,70.49,0.6229,0.9398,0.70656,0.6759999999999999,0.3075,0.603,0.7981,0.21989999999999998,0.29350000000000004,0.2671,0.16899999999999998,0.1307,0.5233,0.009399999999999999,0.37549999999999994,0.42090000000000005,0.4618,0.1447,0.1734,0.23600000000000002,0.08449999999999999,0.5927,0.3868,0.07690000000000001,0.0392,0.201,AR,Rural,North Eastern Zone
1423,Lohit,1214.66,1275.28,179.28,0.6640999999999999,0.9542200000000001,0.82101,0.5846,0.11630000000000001,0.58,0.6777,0.1679,0.3181,0.5038,0.4454,0.1285,0.40950000000000003,0.020499999999999997,0.4817,0.3962,0.8061,0.1276,0.12,0.2867,0.1759,0.5901,0.5711999999999999,0.0204,0.0028000000000000004,0.0131,AR,Rural,North Eastern Zone
1426,Anjaw,257.17,217.02,29.79,0.6219,0.91028,1.1431900000000002,0.4447,0.21420000000000003,0.6315,0.8456,0.2602,0.2594,0.2407,0.207,0.0433,0.5053,0.0724,0.34490000000000004,0.4826,0.5346,0.1629,0.2521,0.2112,0.0383,0.5496,0.28190000000000004,0.11900000000000001,0.0735,0.2351,AR,Rural,North Eastern Zone
1431,South Goa,397.0,399.0,172.0,0.836,0.97,0.792,0.723,0.9279999999999999,0.84,0.951,0.514,0.153,0.401,0.84,0.379,0.9309999999999999,0.036000000000000004,0.9009999999999999,0.843,0.524,0.08,0.06,0.183,0.087,0.506,0.265,0.39899999999999997,0.259,0.384,GA,Urban,Western Zone
1434,Gurdaspur,855.82,1012.22,177.97,0.7702,0.89268,0.70301,0.7021,0.597,0.8673000000000001,0.9068,0.5758,0.09230000000000001,0.7071,0.6515000000000001,0.5357,0.8647,0.08990000000000001,0.9258,0.8665999999999999,0.239,0.0001,0.0,0.2207,0.1484,0.6911,0.5726,0.4179,0.3007,0.1796,PB,Rural,Northern Zone
